Nr.,Severity,Status,Note,Suggestion,Screenshot,Date,Created by,Page URL,Page name,Kanban column,Guideline,Rule,Device,Window width (px),Window height (px),Browser,OS,Project domain,Project name
16,High,Active,this background is not the correct pattern and it needs to be a bit more visible. ,,https://heurioprodsa.blob.core.windows.net/attachments/346b192e-edfc-4806-b98d-0fbd82d9db02.jpeg,2026-09-04T19:05:28,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1822,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
24,High,Active,here is the "atomic homes" highlight url. What can we do with this? ,,https://heurioprodsa.blob.core.windows.net/attachments/5f7ec8f5-1b8e-44a0-9a39-b861d9443eb9.jpeg,2026-09-06T03:48:12,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1868,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
25,Low,Active,text is too dark. Lets use the brand pink for the social badges,,https://heurioprodsa.blob.core.windows.net/attachments/c9decddb-043e-4785-b6c7-b8fba67c6312.jpeg,2026-09-06T03:48:55,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1868,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
26,Medium,Active,now nacho is too big and this is still not a proper scroll effect - the image stay static and fade in as the user scrolls - all while another layer of stars is starts as full bleed animation and fades out as nacho fades in. more stars more size of star variations and more impactful animation,,https://heurioprodsa.blob.core.windows.net/attachments/fd621812-6cdb-4b47-8fa5-9766ac9d46e8.jpeg,2026-09-06T03:51:31,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1868,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
27,Low,Active,Change to "See Full Collection" ,,https://heurioprodsa.blob.core.windows.net/attachments/e672939b-dc0c-4064-ad20-23cf990ee665.jpeg,2026-09-06T03:56:29,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,3364,1858,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
17,Neutral,Active,please add example card for the heritage library and use on product cards. ,,https://heurioprodsa.blob.core.windows.net/attachments/f1da8f12-fda2-4bba-9bc4-7159372f7581.jpeg,2026-09-05T12:46:29,Anthony Cassella,pilot.atomicfindsatx.store/design-system/,Atomic Finds ATX — Design System,ToDo,,,Desktop,1944,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
18,Neutral,Active,once we confirm all materials and styles all swatches and patterns should go here. ,,https://heurioprodsa.blob.core.windows.net/attachments/8bf43f81-8145-4f1b-b805-bf7c3134ebc9.jpeg,2026-09-05T12:47:10,Anthony Cassella,pilot.atomicfindsatx.store/design-system/,Atomic Finds ATX — Design System,ToDo,,,Desktop,1944,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
19,Neutral,Active,Got those product cards wrong yet again. please stop ,,https://heurioprodsa.blob.core.windows.net/attachments/2a887b2d-a6af-4e49-bf14-d3bee8893bb6.jpeg,2026-09-05T12:47:41,Anthony Cassella,pilot.atomicfindsatx.store/design-system/,Atomic Finds ATX — Design System,ToDo,,,Desktop,1944,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
20,Neutral,Active,we need to add the material swatch and background pattern for each card depending on what it is made from and in what style - this will alll be located inside the heritage library and we are now tagging the product /inventory sheets with all specs and photos ,,https://heurioprodsa.blob.core.windows.net/attachments/5a1b69cd-ece1-4cb4-8384-bf50e8e08539.jpeg,2026-09-05T12:49:51,Anthony Cassella,pilot.atomicfindsatx.store/design-system/,Atomic Finds ATX — Design System,ToDo,,,Desktop,1944,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
21,Neutral,Active,show room will happen after we finish the site and connect it to the cms platform. while we are here tho all custom icons need to be utilized around the site as motifs. we also need to settle which icon library we will use for individual sites and the global icon library for the cms  ,,https://heurioprodsa.blob.core.windows.net/attachments/9c8bf157-873a-476a-896f-44222a7449ee.jpeg,2026-09-05T12:52:23,Anthony Cassella,pilot.atomicfindsatx.store/design-system/,Atomic Finds ATX — Design System,ToDo,,,Desktop,1944,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
22,Neutral,Active,This design is not the current record template,,https://heurioprodsa.blob.core.windows.net/attachments/e7b6c628-3cce-4afe-988a-4192b402e800.jpeg,2026-09-06T00:11:27,Anthony Cassella,pilot.atomicfindsatx.store/design-system/,Atomic Finds ATX — Design System,ToDo,,,Desktop,1944,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
23,Neutral,Active,there is another logo in the same folder that still hasn't been added here,,https://heurioprodsa.blob.core.windows.net/attachments/be3b1a43-e879-41c4-a29f-af90ac989e7e.jpeg,2026-09-06T03:45:14,Anthony Cassella,pilot.atomicfindsatx.store/design-system/,Atomic Finds ATX — Design System,ToDo,,,Desktop,1383,1023,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
